NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 12:42:11
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
-66.682	-204.807	219.171
-63.783	-203.906	218.156
-61.034	-203.081	217.092
-58.063	-202.234	215.949
-54.986	-201.403	214.775
-51.912	-200.512	213.726
-48.692	-199.554	212.437
-45.211	-198.563	211.085
-41.708	-197.461	209.696
-38.058	-196.268	208.238
-34.186	-195.044	206.726
-30.083	-193.805	205.172
-25.818	-192.592	203.496
-21.522	-191.300	201.843
-17.165	-189.909	200.153
-12.481	-188.582	198.400
-7.788	-187.164	196.513
-3.015	-185.782	194.735
1.772	-184.303	192.932
6.791	-182.805	190.995
11.781	-181.109	189.106
17.038	-179.267	187.182
22.331	-177.405	185.347
27.830	-175.391	183.416
33.323	-173.253	181.533
39.112	-171.026	179.528
44.930	-168.573	177.581
50.791	-165.904	175.445
56.637	-162.995	173.384
62.516	-159.700	171.338
68.539	-156.039	169.198
74.537	-151.889	167.014
80.520	-147.346	164.891
86.733	-142.276	162.687
92.848	-136.609	160.559
98.554	-131.478	158.463
104.981	-123.399	156.234
111.087	-115.159	154.276
116.442	-105.714	152.046
121.718	-96.576	150.462
129.154	-86.882	149.296
137.323	-77.527	148.277
144.483	-67.773	147.858
150.263	-57.499	147.583
155.296	-47.452	147.676
159.699	-37.461	148.114
163.466	-27.668	148.807
166.546	-17.928	149.965
169.049	-8.273	151.498
170.970	1.486	153.405
172.525	11.292	155.866
173.526	21.240	158.679
174.132	31.214	161.888
174.391	41.179	165.557
174.154	51.110	169.653
173.479	60.759	174.077
172.338	70.289	178.795
170.608	79.447	183.827
168.348	88.321	189.134
165.615	96.880	194.735
162.505	105.137	200.692
158.934	113.235	206.969
155.141	121.136	213.506
150.920	128.680	220.196
146.251	135.721	226.973
141.159	142.262	233.812
135.667	148.306	240.692
129.799	153.856	247.587
123.580	158.916	254.475
117.033	163.487	261.331
110.181	167.574	268.133
103.050	171.179	274.856
95.662	174.306	281.478
88.042	176.957	287.975
80.213	179.135	294.322
72.199	180.844	300.497
64.025	182.087	306.475
55.713	182.866	312.234
47.289	183.185	317.750
38.775	183.046	322.999
30.197	182.454	327.958
21.576	181.410	332.602
12.938	179.918	336.910
4.307	177.981	340.856
-4.295	175.602	344.417
-13.089	172.783	347.443
-21.530	169.516	350.078
-30.042	165.817	352.247
-38.737	161.889	353.921
-46.986	157.455	355.191
-55.406	152.708	355.983
-64.021	147.645	356.281
-72.649	142.159	355.939
-80.873	136.219	355.008
-89.134	129.997	353.627
-97.383	123.533	351.792
-105.654	116.904	349.463
-113.823	109.922	346.718
-121.762	102.771	343.632
-129.700	95.267	340.175
-137.091	87.565	336.350
-144.189	79.744	332.208
-150.592	71.596	327.732
-155.658	63.846	322.773
-161.080	55.881	317.761
-166.201	47.723	312.446
-170.773	39.656	306.747
-174.946	31.366	300.825
-178.519	23.029	294.553
-181.649	14.603	287.963
-184.301	5.977	281.208
-186.410	-2.690	274.298
-188.184	-11.482	267.316
-189.328	-20.015	260.243
-190.368	-28.718	253.239
-191.665	-38.747	246.190
-191.843	-47.792	239.226
-190.520	-55.102	232.067
-189.260	-63.666	225.028
-187.676	-72.149	218.209
-185.581	-80.562	211.510
-183.007	-88.602	204.995
-179.636	-96.487	198.665
-175.983	-103.745	192.627
-172.314	-111.209	186.957
-168.000	-118.574	181.712
-163.240	-125.357	176.778
