NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 12:43:07
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
85.292	-221.761	210.117
83.028	-221.795	209.860
81.239	-222.043	209.674
79.088	-222.079	209.406
77.068	-222.275	209.120
74.945	-222.465	208.849
72.742	-222.585	208.521
70.309	-222.714	208.213
68.125	-222.911	207.874
65.604	-223.080	207.566
62.845	-223.179	207.159
60.187	-223.450	206.798
57.397	-223.627	206.384
54.344	-223.777	206.003
51.085	-223.985	205.617
47.732	-224.113	205.175
44.251	-224.260	204.766
40.553	-224.183	204.347
36.831	-224.044	203.976
32.910	-223.777	203.618
28.838	-223.314	203.283
24.511	-222.653	202.970
20.173	-221.994	202.687
15.649	-221.153	202.404
11.035	-220.246	202.114
6.205	-219.159	201.774
1.308	-217.931	201.347
-3.681	-216.624	200.820
-8.872	-215.114	200.157
-14.438	-213.248	199.303
-20.359	-211.134	198.278
-26.660	-208.552	197.011
-33.257	-205.587	195.502
-39.985	-202.199	193.726
-46.782	-198.247	191.646
-53.236	-193.659	189.289
-59.636	-187.973	186.583
-65.726	-180.990	183.660
-72.035	-172.404	180.511
-78.522	-162.217	177.199
-85.763	-150.277	173.757
-93.444	-137.173	170.387
-101.645	-123.131	167.653
-109.287	-109.043	165.864
-114.342	-95.925	164.348
-118.072	-83.287	162.900
-123.508	-69.875	161.528
-128.305	-56.637	160.269
-132.666	-43.595	159.213
-136.511	-30.571	158.585
-139.436	-16.746	158.274
-141.932	-2.751	158.634
-144.736	10.100	159.509
-146.947	23.255	160.959
-148.653	36.288	162.622
-149.883	49.125	164.497
-150.735	61.642	166.498
-151.016	73.671	168.578
-150.992	85.456	170.909
-150.477	97.020	173.552
-149.540	108.405	176.700
-148.228	119.632	180.497
-146.525	130.759	184.976
-144.437	141.652	190.164
-141.991	152.174	195.979
-139.337	162.253	202.279
-136.261	171.496	208.779
-132.624	180.198	215.272
-128.324	188.160	221.544
-123.241	195.568	227.625
-117.360	202.235	233.337
-111.526	208.378	239.120
-105.669	213.687	244.849
-99.390	218.228	250.511
-93.130	222.073	256.427
-86.792	225.190	262.506
-80.180	227.756	268.762
-73.347	229.888	275.204
-66.036	231.477	281.759
-58.652	232.533	288.283
-51.126	232.969	294.766
-43.057	232.869	301.172
-35.143	232.307	307.499
-27.271	231.220	313.796
-19.191	229.496	319.936
-11.518	227.178	325.976
-3.306	224.099	331.707
4.423	220.418	337.178
12.406	216.097	342.252
20.681	211.206	346.883
28.798	205.972	351.120
36.960	200.308	354.937
45.344	194.215	358.224
53.110	187.848	361.164
60.746	181.206	363.535
68.157	174.128	365.228
75.366	166.529	366.179
82.380	158.432	366.436
89.209	149.862	366.047
95.859	140.843	365.062
102.338	131.399	363.529
108.655	121.555	361.498
114.816	111.335	359.016
120.831	100.763	356.134
126.705	89.863	352.899
132.253	79.054	349.320
137.579	68.142	345.355
142.749	57.301	341.121
147.792	46.383	336.640
152.336	35.528	331.833
156.605	24.692	326.640
160.513	13.920	321.126
163.808	2.479	315.094
167.052	-9.084	308.767
169.632	-20.787	302.009
171.990	-32.477	294.993
173.999	-44.106	287.697
175.418	-55.562	280.267
176.558	-66.856	272.787
177.513	-77.939	265.098
178.099	-88.691	257.466
178.307	-99.291	249.728
178.201	-109.578	242.090
177.506	-119.732	234.502
176.220	-129.377	226.968
174.075	-139.497	219.458
171.539	-149.517	212.099
168.625	-158.017	204.922
164.401	-169.366	198.142
161.010	-174.851	191.260
156.643	-182.084	184.818
151.923	-188.506	178.700
146.715	-194.352	172.946
141.180	-199.494	167.627
135.155	-203.986	162.593
128.812	-208.242	157.991
121.893	-212.114	153.806
114.439	-215.468	150.022
106.472	-218.480	146.736
98.329	-221.067	143.985
89.940	-222.932	141.640
81.438	-224.199	139.707
72.904	-224.843	138.272
64.246	-224.763	137.259
55.463	-223.888	136.759
46.521	-222.307	136.840
37.231	-220.000	137.429
27.659	-217.033	138.576
17.689	-213.408	140.264
7.872	-209.346	142.508
-2.315	-204.494	145.225
-12.293	-199.126	148.443
-22.001	-193.070	152.041
-31.819	-186.330	156.147
-41.244	-179.115	160.407
-50.427	-171.536	165.112
-59.484	-163.564	170.100
-68.523	-155.391	175.551
-77.515	-146.945	181.228
-86.218	-138.281	187.297
-94.796	-129.208	193.523
-103.283	-119.908	200.023
-111.381	-110.236	206.793
-119.266	-100.204	213.494
-126.474	-90.033	220.526
-133.522	-79.396	227.507
-140.176	-68.532	234.658
-146.613	-57.188	241.696
-152.164	-45.305	248.855
-157.892	-34.138	256.275
-163.251	-23.015	263.566
-168.234	-11.954	270.716
-172.835	-0.971	277.708
-177.047	9.917	284.529
-180.862	20.694	291.164
-184.275	31.343	297.598
-187.279	41.847	303.817
-189.866	52.189	309.806
-192.030	62.353	315.551
-193.765	72.323	321.037
-195.063	82.081	326.249
-195.918	91.610	331.173
-196.324	100.895	335.794
-196.272	109.918	340.099
-195.757	118.663	344.071
-194.773	127.113	347.696
-193.311	135.252	350.961
-191.365	143.062	353.850
-188.930	150.527	356.349
-185.997	157.631	358.443
-182.560	164.356	360.117
-178.613	170.687	361.358
-174.148	176.605	362.150
-169.266	182.039	362.601
-163.809	187.478	362.766
-158.087	192.204	362.481
-152.110	196.562	361.900
-145.937	200.389	360.873
-139.715	203.556	359.455
-133.108	206.397	357.728
-126.314	208.504	355.501
-119.087	210.306	352.931
-111.545	211.574	349.972
-103.679	212.388	346.695
-95.222	212.717	343.032
-86.939	212.510	339.127
-78.335	211.712	334.867
-69.706	210.311	330.256
-61.113	208.329	325.341
-52.468	205.769	320.124
-43.791	202.655	314.679
-35.239	199.002	308.974
-26.191	194.900	303.120
-17.224	190.355	297.108
-8.258	185.285	290.927
1.076	179.865	284.640
10.335	174.129	278.279
19.726	167.992	271.920
29.025	161.337	265.429
38.289	154.053	258.944
47.136	146.344	252.219
55.790	137.970	245.338
63.962	129.137	238.361
72.182	119.820	231.507
80.081	110.065	224.546
87.809	100.018	217.675
95.256	89.729	210.807
102.635	79.199	204.372
109.639	68.517	198.021
116.563	57.653	192.080
123.099	46.765	186.299
129.188	35.652	180.799
134.993	24.388	175.575
140.233	12.319	170.495
145.095	0.523	165.861
149.518	-11.204	161.568
153.462	-22.900	157.669
157.063	-34.232	154.216
160.391	-45.570	151.262
163.405	-56.498	148.761
165.877	-67.331	146.722
168.018	-78.005	145.091
169.487	-88.331	143.937
170.230	-98.994	143.110
170.273	-109.818	142.666
169.905	-119.994	142.660
168.789	-130.186	143.022
167.026	-140.601	143.946
164.545	-151.584	145.400
162.709	-158.544	147.487
160.105	-166.851	149.946
157.152	-174.481	152.917
153.613	-181.472	156.291
149.729	-187.970	160.191
145.044	-193.968	164.493
139.885	-199.375	169.099
134.386	-204.352	174.087
128.122	-208.757	179.420
121.773	-212.718	185.119
115.076	-215.956	191.061
108.064	-218.690	197.307
100.989	-220.869	203.768
93.664	-222.470	210.394
85.896	-223.482	217.206
78.065	-224.059	224.138
69.441	-223.934	231.296
60.917	-223.513	238.471
51.800	-222.353	245.799
42.849	-220.824	253.086
33.486	-218.550	260.382
24.134	-215.792	267.626
14.820	-212.440	274.762
5.676	-208.509	281.772
-3.344	-204.156	288.612
-12.358	-199.210	295.225
-21.625	-193.718	301.547
-30.487	-187.827	307.589
-39.283	-181.626	313.493
-48.074	-174.991	319.027
-56.870	-168.046	324.315
-65.618	-160.810	329.243
-74.296	-153.272	333.840
-82.890	-145.472	338.117
-91.460	-137.379	341.904
-100.509	-130.073	345.458
-108.577	-120.985	348.252
-116.209	-112.254	350.585
-123.866	-102.852	352.464
-130.962	-92.976	353.613
-138.099	-83.793	354.540
-145.071	-74.597	354.923
-151.654	-65.243	354.854
-158.029	-55.897	354.346
-164.077	-46.330	353.357
-169.897	-36.705	351.944
-175.272	-27.170	349.996
-180.366	-17.483	347.531
-184.895	-7.957	344.518
-188.860	1.702	340.974
-192.373	11.197	336.938
-195.276	20.653	332.414
-197.712	29.956	327.579
-199.467	39.205	322.237
-200.794	48.364	316.597
-201.576	57.369	310.738
-202.117	66.132	304.667
-202.236	74.735	298.400
-202.066	82.986	291.918
-201.533	91.079	285.296
-200.458	98.823	278.579
-198.943	106.248	271.703
-197.134	113.416	264.878
-194.678	120.251	257.963
-191.638	126.738	251.140
-188.099	132.791	244.369
-183.980	138.474	237.662
-179.604	143.707	231.128
-174.493	148.561	224.687
-168.992	153.013	218.476
-163.150	156.957	212.470
-156.613	160.426	206.561
-149.686	163.475	200.797
-142.176	165.889	195.261
-134.248	167.833	189.855
-125.803	169.138	184.824
-117.130	169.914	180.080
-108.036	170.097	175.614
-98.494	169.628	171.596
-88.912	168.621	167.961
-79.120	167.032	164.637
-69.217	164.899	161.809
-59.701	162.373	159.440
-49.446	159.236	157.482
-38.979	155.723	155.878
-28.518	151.710	154.737
-17.803	147.176	153.942
-6.877	142.460	153.577
4.106	137.136	153.637
15.036	131.435	154.108
25.490	124.762	154.920
35.994	118.068	156.197
46.492	111.001	157.869
57.005	103.518	159.895
67.515	95.610	162.189
77.834	87.296	164.802
87.898	78.628	167.698
97.715	69.681	170.881
107.348	60.415	174.417
116.595	50.861	178.253
125.480	41.288	182.352
133.862	31.396	186.733
141.744	21.269	191.421
149.301	11.248	196.239
156.372	1.204	201.303
163.060	-9.031	206.551
169.349	-19.073	212.011
175.202	-29.214	217.396
180.784	-39.257	223.053
185.925	-49.280	228.661
190.711	-59.420	234.343
195.026	-69.355	240.251
198.825	-79.163	246.075
202.057	-88.777	252.058
204.832	-98.387	257.951
207.068	-107.762	263.775
208.745	-116.919	269.598
209.774	-126.027	275.271
210.275	-134.831	280.849
210.209	-143.430	286.239
209.590	-151.713	291.543
208.462	-159.557	296.590
206.733	-167.035	301.529
204.516	-173.862	306.251
201.592	-180.539	310.795
198.036	-186.806	315.154
193.919	-192.884	319.334
189.012	-198.064	323.104
183.869	-202.275	326.432
178.874	-205.497	329.415
173.718	-207.256	331.837
167.399	-212.541	334.925
160.881	-216.657	337.501
153.686	-222.222	340.046
147.296	-222.797	341.316
140.583	-223.079	342.285
133.406	-223.764	343.129
125.812	-224.415	343.684
117.809	-224.651	343.843
109.529	-224.515	343.642
100.885	-223.835	343.018
91.911	-222.628	341.944
82.752	-221.067	340.527
73.054	-218.876	338.613
63.220	-216.282	336.379
53.291	-213.269	333.763
42.516	-209.439	330.809
32.046	-205.398	327.600
21.732	-200.915	324.050
11.384	-195.927	320.200
1.030	-190.616	316.004
-9.313	-184.810	311.496
-19.789	-178.640	306.714
-30.028	-172.103	301.659
-40.029	-165.379	296.336
-49.868	-158.381	290.835
-59.565	-151.128	284.928
-69.084	-143.563	278.883
-78.392	-135.818	272.624
-87.275	-127.952	266.250
-96.125	-119.802	259.624
-104.611	-111.344	252.885
-112.762	-102.902	246.047
-120.739	-94.497	239.205
-128.471	-85.890	232.351
-135.791	-76.993	225.460
-142.894	-67.850	218.649
-149.706	-58.685	211.974
-156.433	-50.016	205.589
-162.251	-40.127	199.225
-167.756	-30.345	193.125
-172.832	-20.542	187.322
-177.148	-10.467	182.087
-180.893	-0.087	176.919
-184.304	9.526	172.080
-187.286	18.791	167.280
-189.650	28.055	163.018
-191.406	37.210	158.962
-192.492	46.264	155.430
-193.156	55.079	152.271
-193.196	63.529	149.513
-192.674	71.850	147.303
-191.593	79.852	145.518
-189.902	87.601	144.262
-187.679	94.991	143.459
-185.011	102.103	143.285
-181.753	108.816	143.590
-177.990	115.214	144.427
-173.751	121.304	145.877
-169.015	126.931	147.831
-163.739	132.200	150.271
-158.044	137.089	153.271
-151.868	141.387	156.728
-145.154	145.317	160.635
-137.999	148.733	164.972
-130.352	151.568	169.613
-122.272	153.937	174.618
-113.819	155.890	179.971
-104.960	157.291	185.583
-95.781	158.150	191.497
-86.389	158.602	197.662
-76.741	158.519	204.025
-67.085	157.958	210.704
-56.966	156.885	217.462
-47.029	155.399	224.536
-36.815	153.440	231.669
-26.649	151.023	239.008
-16.314	148.180	246.383
-6.156	145.023	253.736
4.277	141.473	261.134
14.771	137.581	268.420
25.279	133.336	275.606
35.747	128.842	282.659
46.147	124.027	289.558
56.443	118.887	296.191
66.479	113.497	302.499
76.513	107.727	308.603
86.250	101.766	314.326
96.109	95.465	319.654
105.434	88.932	324.619
114.696	82.078	329.178
123.476	75.000	333.299
131.813	67.748	336.907
139.937	60.256	340.072
147.829	52.551	342.797
155.469	44.658	345.085
162.839	36.602	346.939
169.918	28.408	348.364
176.687	20.102	349.363
183.127	11.708	349.938
