NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 12:43:44
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
77.301	-114.898	271.999
77.552	-114.547	271.305
77.832	-114.122	270.637
78.004	-113.784	269.949
78.190	-113.281	269.244
78.444	-112.804	268.574
78.687	-112.252	267.847
78.981	-111.732	267.142
79.289	-111.105	266.426
79.607	-110.482	265.708
80.026	-109.841	265.050
80.492	-109.302	264.411
81.029	-108.748	263.826
81.600	-108.191	263.226
82.343	-107.614	262.725
83.139	-107.055	262.239
83.992	-106.518	261.788
84.984	-105.919	261.413
85.928	-105.287	261.030
86.953	-104.642	260.693
88.109	-103.959	260.399
89.130	-103.267	260.097
90.216	-102.401	259.815
91.272	-101.465	259.524
92.317	-100.496	259.222
93.425	-99.463	258.910
94.339	-98.470	258.507
95.377	-97.237	258.062
96.317	-96.094	257.524
97.243	-94.759	256.861
98.079	-93.304	256.026
98.876	-91.720	255.052
99.538	-90.015	253.857
100.041	-88.094	252.335
100.543	-86.042	250.490
100.770	-83.678	248.235
100.943	-81.082	245.589
100.760	-78.247	242.431
100.416	-74.989	238.812
99.754	-71.412	234.644
98.908	-67.520	229.912
97.814	-63.366	224.627
96.521	-59.095	218.833
95.078	-54.656	212.556
93.541	-50.224	206.049
91.977	-45.794	199.395
90.317	-41.235	192.820
88.545	-36.641	186.349
86.732	-31.955	180.126
84.810	-27.049	174.173
82.725	-22.023	168.485
80.403	-16.950	163.086
77.947	-11.700	158.092
75.193	-6.304	153.456
72.205	-1.011	149.285
68.907	4.101	145.406
65.411	9.225	141.972
61.607	14.066	138.852
57.604	18.725	136.160
53.442	23.174	133.916
49.132	27.279	132.108
44.748	31.208	130.586
40.200	34.924	129.494
35.652	38.611	128.946
30.886	42.217	128.866
25.995	45.762	129.418
20.946	49.211	130.529
15.815	52.489	132.109
10.669	55.517	134.252
5.499	58.362	136.780
0.460	61.092	139.797
-4.421	63.962	143.125
-9.466	66.018	146.921
-14.355	67.969	151.123
-19.264	69.625	155.779
-24.175	70.952	160.673
-28.941	72.258	165.971
-33.912	73.135	171.620
-38.767	73.890	177.600
-43.581	74.194	183.756
-48.594	74.175	190.284
-53.367	73.754	196.911
-57.881	72.993	203.542
-62.228	71.958	210.290
-66.346	70.870	217.182
-70.221	69.599	224.135
-73.885	68.155	231.149
-77.393	66.616	238.388
-80.679	64.939	245.628
-83.930	63.127	252.928
-86.927	61.073	260.143
-89.729	58.923	267.286
-92.323	56.566	274.315
-94.656	54.116	281.136
-96.784	51.413	287.656
-98.662	48.533	293.911
-100.309	45.475	299.783
-101.826	42.373	305.364
-103.099	38.919	310.522
-104.286	35.430	315.441
-105.307	31.820	320.048
-106.163	28.033	324.224
-106.793	24.136	327.959
-107.335	20.078	331.294
-107.620	15.928	334.090
-107.816	11.727	336.359
-107.856	7.447	338.246
-107.592	3.089	339.591
-107.296	-1.196	340.491
-106.630	-5.643	340.840
-105.791	-9.964	340.685
-104.695	-14.380	340.044
-103.388	-18.806	338.911
-101.919	-23.157	337.276
-100.040	-27.393	335.220
-97.946	-31.588	332.684
-95.848	-35.620	329.739
-93.338	-39.755	326.353
-90.856	-43.725	322.518
-88.200	-47.597	318.204
-85.269	-51.570	313.480
-82.098	-55.418	308.335
-78.955	-59.230	302.807
-75.581	-63.041	296.926
-71.964	-66.377	290.712
-68.029	-69.730	284.280
-64.216	-73.447	277.664
-60.426	-76.814	270.774
-56.079	-79.265	263.738
-51.878	-81.664	256.259
-48.124	-85.457	249.191
-44.166	-88.460	241.806
-40.203	-91.269	234.503
-35.987	-93.765	226.961
-31.812	-96.159	219.525
-27.476	-98.455	212.283
-23.504	-101.243	205.240
-18.464	-101.840	198.010
-13.451	-102.461	190.951
-8.388	-102.901	184.222
-3.496	-103.076	177.656
1.449	-103.102	171.605
6.280	-102.921	165.662
11.055	-102.548	160.064
15.740	-102.010	154.815
20.252	-101.441	149.973
