NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 09:59:13
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
20.414	-6.636	671.440
19.979	-5.691	654.675
18.106	-6.258	638.319
15.501	-7.834	618.877
15.315	-8.884	595.456
14.227	-8.364	572.130
15.051	-7.650	546.225
15.407	-8.059	514.330
12.663	-8.173	481.991
10.586	-7.182	447.092
10.000	-8.557	409.532
8.147	-8.186	368.608
6.448	-10.449	326.689
8.175	-11.160	284.228
6.460	-8.747	238.253
4.616	-10.893	191.262
6.770	-12.387	143.042
6.479	-11.084	96.270
4.028	-10.431	50.872
3.214	-10.914	1.888
1.813	-11.125	-45.462
0.541	-11.541	-92.244
-1.238	-10.472	-141.183
2.054	-12.194	-186.343
3.883	-14.330	-233.372
-1.240	-14.765	-279.883
-1.224	-12.944	-322.608
-4.560	-11.399	-363.841
-5.077	-10.767	-405.903
-7.664	-8.901	-442.753
-7.532	-11.193	-477.989
-7.482	-9.585	-510.607
-9.228	-7.356	-538.646
-8.906	-9.113	-567.862
-11.550	-8.063	-593.392
-14.049	-6.404	-616.673
-17.242	-5.153	-637.049
-14.737	-7.138	-653.274
-12.698	-8.348	-666.932
-9.214	-9.378	-680.494
-21.207	-6.782	-685.582
-26.158	-5.190	-686.012
-18.509	-6.365	-687.995
-21.401	-5.532	-684.217
-20.342	-4.132	-675.100
-17.829	-3.626	-667.199
-19.210	-5.271	-655.268
-21.063	-3.914	-634.854
-20.228	-1.702	-618.813
-20.692	-0.458	-596.729
-20.506	-0.183	-570.044
-17.154	-1.357	-547.288
-21.836	-0.855	-514.416
-21.759	0.053	-478.556
-21.404	2.782	-441.594
-21.517	3.725	-403.169
-23.906	4.673	-362.571
-24.136	5.047	-319.454
-21.561	4.637	-277.331
-22.913	4.481	-232.847
-18.751	5.410	-189.202
-25.288	8.451	-141.974
-24.974	6.489	-95.325
-21.898	6.717	-46.262
-21.856	7.777	0.966
-19.540	6.184	47.992
-15.011	5.009	94.500
-12.544	5.744	140.149
-18.407	9.754	193.664
-16.193	11.994	238.798
-12.347	9.079	281.390
-10.545	8.080	323.430
-12.646	9.756	364.528
-9.329	10.324	404.610
-5.539	9.924	436.951
-7.012	9.868	473.407
-10.409	11.990	514.327
-17.722	12.590	546.675
-8.302	10.806	571.092
6.737	9.109	592.795
-5.808	11.437	618.534
-9.672	11.649	641.076
5.756	7.779	653.287
0.164	11.196	668.688
-0.063	11.807	678.353
4.272	9.114	680.792
2.464	8.897	685.597
11.095	8.631	685.097
0.804	12.611	682.988
0.016	10.941	676.368
17.096	6.747	665.012
8.691	7.578	654.798
4.946	10.243	638.630
19.399	7.693	620.265
16.311	7.623	596.720
12.011	8.631	568.626
9.418	7.120	540.280
7.028	10.214	508.007
13.635	10.328	474.010
8.920	8.939	440.502
13.664	5.222	402.863
13.668	5.700	363.108
9.072	6.349	321.148
11.689	6.682	277.422
14.552	6.982	234.009
16.766	4.125	186.468
12.526	4.822	140.379
14.240	3.518	92.273
20.660	0.032	41.940
20.372	1.436	-6.622
15.047	3.707	-56.139
20.062	-1.918	-102.947
21.791	-3.231	-147.928
20.052	-0.931	-194.890
19.198	-1.452	-240.015
10.264	0.633	-283.298
8.750	0.951	-326.462
16.747	-1.741	-368.726
22.380	-3.805	-408.042
21.100	-3.735	-446.570
17.081	-2.703	-482.631
16.605	-3.506	-514.274
19.200	-6.661	-545.274
13.702	-2.673	-575.191
12.525	-2.106	-597.359
16.835	-7.221	-618.544
17.586	-7.307	-639.043
9.358	-4.518	-654.573
7.570	-5.849	-665.793
8.885	-10.092	-677.796
16.998	-11.445	-683.344
20.002	-9.814	-686.122
2.559	-6.153	-687.955
8.858	-10.218	-685.101
5.584	-10.550	-678.647
5.993	-8.408	-664.868
11.112	-9.568	-651.745
2.950	-9.599	-634.522
6.277	-9.191	-611.372
10.104	-8.939	-588.628
8.301	-10.995	-565.238
8.123	-11.846	-537.507
9.630	-12.079	-506.717
2.687	-11.528	-471.521
-6.094	-9.764	-434.403
-3.158	-8.839	-400.190
3.370	-10.611	-359.955
4.073	-11.972	-316.212
4.791	-12.624	-273.652
-0.330	-14.358	-224.839
-7.235	-11.809	-178.594
-2.341	-11.451	-136.074
-2.278	-12.867	-85.238
-2.503	-12.535	-38.634
-1.525	-13.096	5.864
-11.718	-7.855	56.904
-5.019	-9.055	100.404
3.339	-15.458	145.454
-11.100	-7.299	193.732
-14.762	-4.559	242.507
-6.682	-9.606	286.753
-16.560	-6.472	332.459
-10.504	-7.323	372.560
-11.701	-6.497	409.786
-13.239	-6.998	447.908
-9.223	-7.340	482.271
-13.982	-6.882	514.823
-20.111	-4.345	544.739
-17.924	-3.542	573.421
-9.777	-6.714	597.438
-12.075	-3.614	619.485
-12.974	-4.018	636.696
-16.716	-3.097	654.937
-17.631	-1.051	668.248
-13.234	-3.845	675.096
-11.806	-0.656	685.153
-14.540	2.101	687.365
-14.947	0.251	685.979
-15.934	1.175	681.986
-14.192	2.007	670.483
-19.231	3.011	662.436
-17.162	2.412	649.041
-19.414	6.553	633.638
-21.120	8.555	614.016
-14.115	4.529	590.397
-16.738	4.298	565.471
-15.226	4.684	537.398
-17.165	5.674	507.448
-21.287	8.685	471.051
-15.470	7.127	432.897
-14.097	5.833	396.367
-16.793	8.444	356.710
-13.876	7.276	312.500
-13.207	8.949	268.528
-15.650	7.603	224.691
-11.054	5.288	180.063
-13.759	9.523	132.280
-18.476	12.235	85.178
-13.119	11.583	38.623
-9.886	7.898	-8.700
-9.759	7.783	-57.367
-12.095	9.170	-108.353
-12.181	9.790	-153.500
-9.564	10.125	-200.405
-4.813	6.512	-245.908
-6.867	8.362	-288.985
-10.027	13.789	-333.813
-2.943	11.211	-374.120
-0.691	8.935	-412.806
-10.891	12.745	-446.989
-13.231	14.458	-480.861
-5.016	11.458	-514.939
-2.967	12.441	-544.996
-0.590	9.917	-574.965
-2.459	10.117	-600.375
-5.457	12.627	-622.818
2.280	7.004	-642.003
-1.196	8.231	-654.387
-3.203	11.578	-667.498
7.545	6.827	-678.585
6.016	7.200	-680.198
7.371	7.476	-684.133
6.427	5.752	-683.819
3.055	8.035	-678.381
10.048	7.708	-673.464
10.990	7.099	-661.377
11.115	6.853	-648.614
7.193	7.678	-628.467
13.254	7.524	-611.938
17.294	7.452	-590.528
14.350	5.477	-561.019
12.023	5.775	-530.103
12.425	6.467	-496.313
12.467	7.203	-460.875
11.103	5.957	-424.227
22.224	1.904	-392.026
22.533	2.700	-350.979
17.443	1.990	-310.403
17.358	1.740	-268.751
16.128	2.599	-219.285
19.513	-0.137	-175.703
20.263	0.339	-128.366
21.377	-0.946	-81.563
23.428	-3.181	-34.940
17.766	-1.277	20.231
20.069	-0.926	66.449
26.747	-4.665	106.741
22.213	-2.820	158.004
21.448	-0.567	204.155
22.058	-3.424	244.927
21.060	-3.891	291.185
24.724	-3.917	331.259
19.752	-3.961	371.344
15.274	-2.856	415.917
25.389	-5.368	450.049
21.855	-7.032	487.602
15.450	-3.481	518.698
22.992	-6.097	544.686
13.398	-6.998	580.779
12.449	-6.676	600.003
18.731	-8.814	618.655
14.685	-10.549	640.329
15.245	-11.596	653.119
15.011	-8.523	666.263
14.332	-7.667	674.853
14.747	-7.942	680.831
14.663	-8.047	684.056
13.279	-8.905	683.570
10.862	-8.820	680.755
9.666	-8.370	671.839
9.634	-6.331	660.404
6.671	-7.889	646.591
6.699	-8.404	629.106
4.290	-6.805	607.134
-0.554	-7.645	583.091
3.758	-8.069	556.522
1.324	-7.665	527.911
-2.646	-7.445	496.862
2.603	-8.812	464.823
1.701	-9.410	429.797
-3.742	-5.924	388.824
-5.674	-3.482	348.530
-4.845	-3.936	308.282
-3.412	-0.682	264.544
-3.016	2.262	216.447
-5.424	-0.994	168.803
-6.226	-8.605	122.615
-8.891	-8.505	76.902
-11.270	-5.241	29.927
-7.851	-7.131	-21.268
-9.972	-9.184	-66.418
-11.658	-10.642	-109.044
-12.908	-10.308	-158.627
-14.846	-9.770	-205.320
-16.628	-8.013	-249.799
-16.448	-5.649	-294.723
-12.739	-5.041	-336.725
-14.574	-4.651	-377.718
-14.804	-2.810	-417.516
-16.234	-1.946	-453.771
-23.781	-1.104	-488.630
-19.600	-0.817	-519.297
-15.436	-0.564	-546.178
-22.090	-0.728	-574.473
-20.182	-2.393	-598.724
-17.716	0.272	-620.393
-20.939	1.511	-640.708
-20.040	0.703	-656.702
-21.680	1.300	-667.414
-22.631	2.342	-676.637
-22.148	2.172	-680.676
-19.759	0.112	-685.003
-17.964	1.356	-682.204
-26.556	5.216	-672.949
-23.427	5.642	-670.420
-17.016	4.696	-658.485
-19.904	4.023	-640.636
-20.328	8.257	-620.476
-18.799	9.070	-603.967
-16.840	7.731	-583.877
-25.933	9.761	-549.430
-20.234	9.195	-525.610
-12.380	9.215	-498.830
-19.296	9.838	-455.303
-17.013	11.891	-417.381
-15.390	9.196	-387.097
-15.749	7.061	-346.439
-18.054	9.732	-294.068
-16.038	11.230	-252.705
-9.829	11.776	-219.510
-13.030	12.381	-165.986
-11.872	9.659	-119.900
-10.158	10.665	-75.108
-10.743	12.316	-20.848
-4.406	12.100	17.891
-4.151	12.340	63.999
-7.846	9.157	119.382
-3.694	13.299	163.194
