NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 17:03:43
DATA_INCLUDED	Position
DATA_TYPES	Origin_origin_X	Origin_origin_Y	Origin_origin_Z

Origin_origin_X	Origin_origin_Y	Origin_origin_Z	
31.985	4.573	665.145
31.935	4.603	665.160
31.861	4.611	665.191
31.789	4.623	665.182
31.735	4.634	665.193
31.700	4.660	665.215
31.673	4.692	665.237
31.671	4.710	665.221
31.667	4.724	665.245
31.650	4.716	665.253
31.625	4.712	665.253
31.569	4.713	665.259
31.507	4.730	665.263
31.436	4.751	665.279
31.353	4.773	665.314
31.308	4.751	665.304
31.262	4.712	665.297
31.228	4.705	665.304
31.198	4.718	665.296
31.173	4.726	665.288
31.153	4.730	665.261
31.140	4.721	665.276
31.124	4.689	665.254
31.088	4.691	665.260
31.031	4.689	665.267
30.981	4.701	665.284
30.891	4.713	665.295
30.808	4.699	665.316
30.711	4.673	665.313
30.648	4.662	665.314
30.563	4.672	665.363
30.509	4.692	665.361
30.466	4.683	665.336
30.444	4.682	665.349
30.435	4.657	665.371
30.424	4.635	665.349
30.417	4.625	665.324
30.401	4.627	665.337
30.374	4.622	665.344
30.345	4.603	665.320
30.297	4.580	665.317
30.242	4.542	665.341
30.177	4.521	665.337
30.109	4.527	665.330
30.047	4.533	665.342
30.019	4.528	665.349
30.004	4.495	665.327
30.024	4.448	665.334
30.034	4.419	665.312
30.064	4.397	665.309
30.081	4.386	665.323
30.102	4.352	665.302
30.097	4.315	665.282
30.090	4.277	665.267
30.056	4.259	665.283
30.037	4.240	665.285
30.004	4.236	665.273
30.007	4.208	665.277
30.026	4.190	665.273
30.087	4.174	665.256
30.151	4.144	665.216
30.228	4.106	665.221
30.300	4.100	665.235
30.364	4.096	665.217
30.413	4.058	665.177
30.456	4.016	665.157
30.458	4.001	665.211
30.448	3.988	665.213
30.440	3.965	665.216
30.462	3.974	665.228
30.488	3.977	665.228
30.534	3.953	665.212
30.607	3.943	665.201
30.693	3.945	665.214
30.781	3.931	665.209
30.851	3.927	665.211
30.914	3.916	665.173
30.972	3.916	665.161
31.003	3.891	665.190
31.048	3.893	665.184
31.069	3.903	665.183
31.094	3.895	665.190
31.128	3.911	665.195
31.174	3.924	665.193
31.216	3.925	665.193
31.278	3.917	665.201
31.326	3.929	665.212
31.367	3.931	665.199
31.429	3.953	665.177
31.482	3.951	665.178
31.526	3.962	665.183
31.575	3.959	665.177
31.607	3.964	665.176
31.627	3.982	665.187
31.663	3.999	665.184
31.677	4.024	665.181
31.720	4.037	665.173
31.752	4.025	665.175
31.791	4.042	665.179
