NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 14:26:55
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
53.111	-268.461	322.888
53.031	-268.539	322.850
52.967	-268.550	322.777
52.903	-268.620	322.710
52.842	-268.678	322.643
52.792	-268.740	322.569
52.747	-268.790	322.487
52.709	-268.780	322.351
52.657	-268.812	322.284
52.566	-268.840	322.247
52.494	-268.789	322.196
52.434	-268.759	322.144
52.395	-268.739	322.083
52.345	-268.729	322.051
52.319	-268.701	322.032
52.302	-268.708	322.039
52.329	-268.677	322.038
52.325	-268.660	322.067
52.326	-268.632	322.116
52.343	-268.582	322.179
52.370	-268.582	322.248
52.418	-268.473	322.302
52.459	-268.425	322.424
52.518	-268.293	322.513
52.606	-268.191	322.635
52.671	-268.121	322.772
52.767	-267.979	322.943
52.939	-267.888	323.173
53.089	-267.852	323.492
53.304	-267.742	323.789
53.523	-267.574	324.156
53.804	-267.369	324.630
54.138	-267.147	325.199
54.611	-266.767	325.742
55.270	-266.251	326.418
56.171	-265.526	327.145
57.342	-264.661	327.900
58.818	-263.580	328.769
60.639	-262.280	329.694
62.750	-260.852	330.742
65.070	-259.031	331.757
67.592	-256.963	332.714
70.283	-254.371	333.381
73.050	-251.199	333.702
75.817	-247.348	333.482
78.705	-242.816	332.357
81.621	-237.744	330.267
84.906	-232.003	326.974
88.289	-225.930	322.432
91.908	-219.364	316.688
95.565	-212.335	309.871
99.293	-204.882	302.297
103.112	-196.749	294.210
106.764	-188.517	286.204
110.488	-179.333	278.532
114.357	-168.519	271.307
117.765	-158.244	264.205
120.780	-147.919	257.493
122.632	-139.677	250.610
124.458	-130.185	244.144
125.873	-120.543	238.150
126.716	-110.455	232.922
126.862	-100.194	228.572
126.348	-89.067	225.210
125.187	-76.972	222.584
123.508	-64.491	221.006
121.421	-51.817	220.289
119.209	-38.781	220.201
116.374	-26.310	220.473
113.161	-14.059	221.159
109.675	-1.876	222.445
106.078	10.309	224.431
102.466	22.739	227.264
98.507	35.431	230.991
94.398	48.611	235.745
89.654	61.125	241.385
84.633	73.679	247.908
79.082	85.887	255.137
73.260	97.675	263.156
67.356	108.530	271.526
61.162	118.193	279.658
53.966	126.971	287.287
46.637	135.054	294.616
39.402	142.664	301.854
32.348	149.816	309.230
25.416	156.571	316.745
19.135	162.947	324.409
13.039	169.107	332.481
6.739	174.781	340.785
0.670	180.097	349.328
-5.408	185.036	358.245
-11.372	189.412	367.397
-17.560	193.146	376.513
-23.631	195.886	385.271
-30.180	197.863	393.591
-36.444	199.108	401.348
-42.634	199.800	408.539
-48.871	199.896	415.148
-54.846	199.686	421.167
-60.291	199.141	426.673
-65.316	198.086	431.568
-70.440	196.559	435.872
-75.604	194.425	439.520
-80.573	191.982	442.569
-85.441	189.023	444.985
-90.584	185.442	446.830
-95.837	181.271	447.983
-101.423	176.615	448.478
-106.952	171.717	448.199
-112.396	166.752	447.159
-117.450	161.799	445.432
-122.183	156.439	442.815
-126.270	151.588	439.618
-129.665	146.543	435.313
-132.398	141.484	430.278
-134.833	136.022	424.529
-136.790	130.110	418.082
-138.440	123.948	411.084
-139.627	117.525	403.489
-140.266	111.077	395.390
-140.507	104.207	386.719
-140.356	97.019	377.566
-139.659	89.448	367.925
-138.605	81.448	357.922
-137.174	73.225	347.730
-135.498	64.491	337.616
-133.474	55.448	327.486
-131.219	46.123	317.554
-128.492	36.645	307.653
-125.545	26.959	297.925
-122.126	17.147	288.467
-118.460	7.196	279.278
-114.136	-2.611	270.428
-109.649	-12.480	261.922
-104.715	-22.260	253.791
-99.143	-32.356	246.079
-92.895	-42.066	238.835
-86.568	-52.110	232.151
-79.392	-61.323	226.086
-72.330	-71.484	221.031
-64.450	-80.418	216.638
-56.666	-90.361	213.126
-47.165	-97.100	209.950
-37.569	-104.675	207.811
-28.009	-112.182	206.383
-18.430	-119.314	206.041
-8.968	-126.008	206.503
0.436	-132.322	207.857
9.900	-138.249	209.943
19.110	-143.781	213.093
28.074	-148.713	216.966
37.089	-153.149	221.723
45.956	-156.964	227.124
54.831	-160.088	233.260
63.644	-162.662	240.025
72.401	-164.519	247.350
81.121	-166.085	255.230
89.209	-168.389	263.791
98.200	-166.527	272.348
106.438	-165.421	281.656
114.463	-163.537	290.975
121.860	-162.578	300.876
129.037	-159.931	310.697
135.729	-156.790	320.521
142.086	-153.869	330.515
147.794	-150.101	340.333
153.485	-146.052	350.129
158.464	-141.485	359.659
163.293	-136.748	368.978
167.527	-131.655	377.924
171.230	-126.214	386.358
174.819	-120.644	394.289
178.384	-114.822	401.242
182.179	-108.759	407.011
185.641	-102.574	411.865
189.312	-96.726	415.929
192.783	-90.949	418.790
196.153	-84.888	420.603
199.390	-78.578	421.421
202.462	-72.056	421.296
205.337	-65.356	420.281
207.984	-58.516	418.429
210.370	-51.570	415.792
212.463	-44.555	412.422
214.231	-37.507	408.373
215.642	-30.462	403.697
216.664	-23.454	398.447
217.266	-16.521	392.674
217.415	-9.699	386.433
217.079	-3.022	379.774
216.227	3.473	372.752
214.826	9.750	365.418
212.844	15.773	357.826
210.249	21.507	350.027
207.010	26.915	342.075
203.094	31.962	334.021
198.470	36.612	325.919
193.105	40.828	317.821
187.636	44.605	309.091
182.347	47.899	299.826
176.877	50.956	290.726
171.284	54.037	282.232
165.457	56.915	274.574
158.995	60.151	267.751
151.699	63.699	261.622
143.389	67.283	255.953
134.162	70.846	250.791
124.116	74.331	246.184
113.346	77.680	242.179
101.951	80.836	238.824
90.027	83.742	236.166
77.563	85.148	233.989
64.566	86.174	232.426
51.680	86.624	231.569
38.812	86.651	231.186
26.114	86.060	231.483
13.483	85.102	232.244
1.238	83.644	233.502
-10.498	81.805	235.224
-22.078	79.608	237.460
-33.132	77.063	240.238
-43.689	74.324	243.756
-53.974	71.451	247.869
-63.899	68.250	252.500
-73.482	64.730	257.513
-82.853	61.129	263.205
-92.234	57.285	269.352
-101.707	53.275	276.060
-111.380	49.174	283.210
-120.993	44.723	290.837
-130.505	40.038	298.949
-139.754	34.975	307.338
-148.721	29.583	315.980
-157.224	24.194	324.753
-165.064	18.721	333.850
-162.926	9.538	343.942
-152.173	-2.819	354.816
-134.169	-17.817	366.261
-110.277	-34.919	378.064
-81.860	-53.591	390.012
-50.283	-73.298	401.895
-16.907	-93.504	413.500
16.902	-113.675	424.614
49.783	-133.275	435.025
80.370	-151.770	444.522
107.302	-168.625	452.892
129.214	-183.304	459.923
144.743	-195.272	465.402
152.526	-203.995	469.118
151.198	-208.937	470.859
149.852	-213.531	472.166
148.644	-218.060	473.031
147.697	-222.333	473.419
146.856	-226.369	473.351
146.240	-229.855	472.473
140.280	-230.878	469.779
129.718	-229.724	465.437
115.298	-226.680	459.617
97.762	-222.033	452.488
77.853	-216.069	444.219
56.316	-209.076	434.980
33.892	-201.340	424.938
11.325	-193.149	414.264
-10.642	-184.788	403.126
-31.266	-176.545	391.695
-49.803	-168.707	380.137
-65.511	-161.560	368.624
-77.646	-155.392	357.324
-85.466	-150.489	346.406
-88.226	-147.139	336.039
-85.185	-145.627	326.392
-75.599	-146.241	317.635
-65.637	-146.006	308.786
-55.260	-145.056	300.040
-44.733	-143.394	291.633
-34.186	-140.864	283.715
-23.810	-137.680	276.328
-13.768	-134.443	269.395
-4.243	-131.918	262.800
5.880	-126.777	256.565
15.287	-123.049	250.334
24.617	-119.364	244.482
33.970	-115.513	238.908
43.574	-110.812	233.941
53.049	-106.977	229.409
62.732	-102.186	225.605
72.342	-96.728	222.573
81.818	-90.674	220.316
90.849	-84.123	219.002
99.720	-76.588	218.552
108.258	-68.375	219.002
116.369	-59.740	220.305
123.992	-50.610	222.456
131.363	-41.257	225.324
138.124	-31.727	229.048
144.302	-22.155	233.462
149.798	-12.682	238.481
154.692	-3.587	243.975
158.826	4.860	249.777
162.271	12.992	255.845
165.133	20.684	262.178
167.483	28.192	268.900
169.364	35.558	276.037
170.889	42.720	283.555
172.004	49.858	291.402
172.759	56.861	299.482
173.308	64.126	307.863
173.328	71.189	315.624
172.837	78.044	322.780
171.856	84.686	329.344
170.405	91.110	335.333
168.502	97.311	340.759
166.167	103.284	345.639
163.421	109.023	349.986
160.283	114.524	353.816
156.773	119.781	357.142
152.909	124.790	359.980
148.713	129.546	362.343
144.204	134.042	364.247
139.400	138.275	365.707
134.323	142.239	366.736
128.991	145.930	367.350
123.425	149.341	367.563
117.644	152.468	367.389
111.667	155.306	366.844
105.515	157.850	365.942
99.207	160.094	364.697
92.763	162.034	363.124
86.202	163.665	361.238
79.544	164.981	359.054
72.809	165.978	356.585
66.016	166.650	353.847
59.186	166.992	350.854
52.337	166.999	347.621
45.490	166.666	344.162
38.664	165.989	340.493
31.879	164.961	336.627
25.154	163.578	332.579
18.510	161.835	328.364
11.965	159.727	323.996
5.541	157.248	319.491
-0.745	154.394	314.862
-6.872	151.159	310.125
-12.820	147.539	305.293
-18.570	143.528	300.382
-24.102	139.121	295.406
-29.397	134.313	290.380
-34.434	129.100	285.318
-39.194	123.475	280.235
-43.657	117.435	275.146
-47.964	110.743	270.099
-52.231	103.258	264.917
-56.437	94.967	259.622
-60.585	85.859	254.255
-64.842	75.932	248.948
-68.936	65.100	243.987
-72.785	53.699	239.495
-76.451	41.733	235.715
-79.492	29.382	232.862
-82.435	17.348	231.006
-85.061	5.149	230.201
-87.206	-6.356	230.387
-88.867	-17.187	231.415
-89.902	-27.463	233.300
-90.167	-36.986	235.832
-89.803	-46.187	238.985
-88.773	-55.078	242.962
-87.176	-63.645	247.273
-85.251	-72.719	252.307
-82.824	-82.195	257.399
-79.691	-91.121	262.402
-76.499	-100.641	267.877
-73.137	-110.571	273.205
-69.036	-118.917	278.845
-65.393	-128.717	284.719
-61.428	-138.265	290.929
-57.175	-147.447	297.627
-52.861	-156.182	304.726
-48.449	-164.007	312.172
-43.947	-171.102	319.842
-39.466	-177.346	327.500
-34.880	-182.755	335.164
-30.135	-187.374	342.658
-25.158	-191.275	349.864
-20.068	-194.475	356.744
-14.855	-197.039	363.310
-9.332	-198.969	369.472
-3.522	-200.320	375.189
2.403	-201.348	380.535
8.399	-201.816	385.361
14.439	-201.800	389.794
20.777	-201.500	393.586
26.928	-201.550	396.854
32.978	-201.524	399.293
39.686	-200.002	400.705
46.191	-198.935	401.593
52.804	-197.859	401.787
59.291	-196.973	401.237
65.743	-196.175	399.805
72.254	-195.657	397.743
79.005	-194.423	394.866
85.421	-193.766	391.548
91.401	-194.160	388.270
97.197	-194.695	384.956
102.944	-193.627	381.073
108.282	-191.844	376.762
113.173	-189.273	371.953
117.599	-185.016	366.270
120.925	-178.855	359.435
124.186	-171.761	352.226
127.143	-164.070	344.887
129.722	-155.875	337.594
131.337	-146.628	330.192
132.732	-136.823	323.147
134.230	-126.973	316.567
135.606	-117.041	310.120
136.754	-107.300	303.898
137.857	-97.498	297.666
138.728	-87.964	291.357
139.297	-78.606	284.997
139.325	-69.580	278.603
138.726	-60.892	272.229
137.588	-52.423	265.965
135.894	-43.948	260.053
133.588	-35.450	254.557
130.701	-26.661	249.543
127.107	-17.627	245.206
123.534	-8.589	241.546
120.074	0.715	238.526
116.333	10.214	235.889
112.583	19.962	233.824
108.358	29.708	232.498
103.785	39.592	231.795
98.423	49.652	232.005
92.412	59.691	233.070
86.311	70.234	235.141
79.335	79.194	238.018
72.425	88.303	241.833
65.327	96.866	246.327
58.588	104.578	251.076
51.824	111.529	255.866
44.932	117.703	260.825
37.794	123.009	265.793
30.346	127.460	270.632
22.428	131.052	275.513
14.343	133.879	280.567
5.835	136.070	286.008
-2.378	137.718	291.794
-10.468	139.093	298.152
-18.646	140.260	305.257
-26.366	141.440	312.867
-33.748	142.534	320.740
-40.751	143.279	328.747
-47.732	143.601	336.969
-54.227	143.381	345.150
-60.672	142.691	353.223
-66.780	141.445	361.063
-72.430	139.908	368.587
-77.936	137.880	375.652
-83.439	135.399	382.321
-88.776	132.334	388.462
-94.082	128.810	394.143
-99.282	124.829	399.293
-104.376	120.583	403.951
-109.535	116.117	407.950
-114.535	111.465	411.166
-119.428	106.811	413.350
-124.201	102.123	414.570
-129.021	97.569	414.808
-133.751	92.988	414.173
-138.047	88.322	412.694
-141.907	83.557	410.416
-145.329	78.675	407.387
-148.310	73.662	403.652
-150.848	68.501	399.257
-152.940	63.177	394.248
-154.584	57.673	388.672
-155.777	51.973	382.573
-156.517	46.063	375.999
-156.801	39.925	368.994
-156.627	33.545	361.606
-155.992	26.905	353.880
-154.894	19.991	345.862
-153.330	12.786	337.598
-150.939	5.381	329.384
-147.953	-2.253	321.248
-144.467	-9.823	313.458
-140.679	-16.714	305.917
-136.594	-23.477	298.709
-132.785	-29.777	291.842
-128.901	-35.661	285.553
-124.329	-41.491	279.694
-119.269	-46.637	274.258
-113.693	-52.178	269.179
-107.653	-57.630	264.466
-100.488	-62.253	259.856
-93.619	-68.698	255.304
-85.922	-75.104	250.773
-77.459	-81.065	246.416
-68.051	-86.397	242.218
-58.469	-92.581	238.497
-48.311	-98.500	235.585
-38.107	-104.416	233.552
-27.840	-109.813	232.349
-17.509	-113.931	232.060
-7.343	-117.575	232.591
2.837	-119.531	233.765
13.023	-120.962	235.486
23.057	-122.054	237.772
33.032	-122.828	240.875
42.912	-123.176	244.177
53.034	-122.596	247.873
62.814	-122.125	252.279
72.381	-121.747	257.076
81.449	-120.319	262.163
90.569	-118.292	267.823
99.283	-116.656	273.782
108.036	-114.752	279.988
116.649	-112.321	286.453
125.124	-109.941	293.109
133.231	-107.075	299.827
140.888	-103.978	306.690
148.620	-100.745	313.709
156.086	-97.338	320.654
163.030	-93.987	327.624
169.443	-90.605	334.320
175.266	-86.711	340.952
180.154	-82.286	347.381
184.405	-77.452	353.554
187.929	-72.053	359.428
190.933	-66.346	365.078
193.398	-60.107	370.427
195.486	-53.575	375.484
197.203	-47.043	380.102
198.715	-40.525	383.953
200.008	-34.031	387.064
201.069	-27.571	389.462
201.884	-21.154	391.176
202.441	-14.791	392.232
202.726	-8.491	392.658
202.726	-2.264	392.483
202.427	3.880	391.733
201.816	9.932	390.436
200.881	15.882	388.620
199.606	21.720	386.313
197.980	27.436	383.543
195.989	33.021	380.336
193.619	38.464	376.720
190.857	43.757	372.724
187.691	48.888	368.374
184.106	53.850	363.699
180.089	58.630	358.726
175.628	63.221	353.483
170.708	67.612	347.997
165.317	71.794	342.296
159.440	75.756	336.408
153.066	79.488	330.360
146.179	82.982	324.180
138.768	86.228	317.896
130.819	89.215	311.535
122.584	92.150	305.414
114.047	94.895	299.596
105.686	97.258	293.838
96.950	99.156	288.120
88.334	100.594	282.493
79.427	101.574	276.853
70.343	102.015	271.359
61.327	101.860	266.038
52.121	101.099	260.939
42.759	99.647	256.129
33.104	97.695	251.701
23.389	95.315	247.934
13.553	92.668	244.783
3.435	89.626	242.369
-6.788	86.159	240.375
-17.365	82.561	239.197
-28.054	78.793	238.678
-38.308	74.700	238.776
-48.215	70.364	239.751
-57.723	65.831	241.255
-67.149	61.098	243.587
-75.978	56.093	246.418
-84.401	50.802	249.818
-92.224	45.225	253.684
-99.454	39.296	257.893
-106.095	33.162	262.444
-112.111	26.768	267.151
-117.538	20.161	272.113
-122.493	13.377	277.303
-127.062	6.318	282.757
-131.199	-1.006	288.411
-135.063	-8.475	294.238
-138.414	-15.930	300.493
-141.372	-23.448	306.839
-144.179	-30.656	313.451
-146.393	-37.818	320.221
-148.075	-44.836	327.006
-149.241	-51.707	333.756
-149.910	-58.426	340.422
-150.097	-64.991	346.954
-149.821	-71.397	353.305
-149.098	-77.642	359.423
-147.946	-83.722	365.261
-146.382	-89.634	370.769
-144.423	-95.374	375.898
-142.087	-100.939	380.599
-139.390	-106.325	384.822
-136.350	-111.529	388.518
-132.984	-116.547	391.638
-129.310	-121.377	394.133
-125.344	-126.014	395.954
-121.104	-130.455	397.052
-116.607	-134.697	397.377
-111.870	-138.737	396.880
-106.910	-142.570	395.512
-101.745	-146.194	393.224
-96.392	-149.605	389.966
-91.260	-153.258	386.467
-86.064	-156.933	382.588
-80.740	-160.255	378.280
-75.285	-163.129	373.486
-69.608	-165.546	368.415
-63.684	-167.509	362.990
-57.490	-169.021	357.135
-50.999	-170.083	350.772
-44.227	-170.615	344.291
-36.982	-170.698	337.396
-29.588	-170.202	330.326
-22.060	-169.098	323.275
-14.189	-167.387	316.017
-6.366	-165.053	308.917
1.589	-162.324	302.007
9.479	-159.026	295.268
17.119	-155.648	288.603
24.484	-152.571	282.156
31.839	-148.074	275.945
39.177	-143.194	269.735
46.178	-138.214	263.988
53.068	-133.153	258.624
59.815	-127.252	253.572
66.215	-121.367	249.125
72.661	-114.961	245.146
78.976	-107.797	241.733
85.011	-99.963	238.903
90.635	-91.954	236.712
96.072	-83.277	235.100
101.162	-74.204	234.066
105.967	-65.057	233.561
110.328	-55.749	233.624
114.301	-46.264	234.344
117.864	-36.773	235.557
121.095	-27.194	237.453
124.008	-17.527	239.998
126.411	-7.691	243.146
128.701	2.233	246.903
130.558	12.125	251.206
132.053	22.000	256.012
133.150	32.074	261.326
133.509	41.520	266.993
133.233	50.791	272.901
132.628	59.411	278.995
131.434	67.518	285.225
129.839	75.148	291.582
128.033	82.339	298.060
126.201	89.126	304.651
123.074	95.869	311.392
120.006	102.424	318.301
116.702	108.700	325.308
112.947	114.932	332.507
109.246	120.900	339.741
105.272	126.726	347.043
101.058	132.317	354.218
96.774	137.580	361.240
99.727	140.942	368.311
108.547	142.686	375.307
121.863	143.093	382.105
138.305	142.447	388.579
156.502	141.028	394.605
175.083	139.120	400.059
192.677	137.004	404.816
207.915	134.962	408.752
219.425	133.278	411.743
225.838	132.232	413.664
225.781	132.108	414.392
225.711	131.816	414.576
225.615	131.213	414.302
225.481	130.260	413.585
225.272	128.883	412.481
224.974	127.072	410.955
214.528	126.655	407.771
195.718	127.327	403.149
170.326	128.781	397.308
140.136	130.711	390.470
106.931	132.813	382.854
72.493	134.779	374.682
38.607	136.304	366.173
7.055	137.082	357.547
-20.380	136.806	349.025
-41.914	135.172	340.827
-55.765	131.872	333.173
-60.149	126.601	326.285
-64.104	120.962	319.337
-67.773	114.916	312.386
-71.094	108.571	305.508
-74.142	101.711	298.767
-77.018	94.592	292.279
-79.616	87.004	285.988
-82.022	79.075	279.968
-84.190	70.814	274.286
-85.981	62.269	268.916
-87.356	53.432	263.857
-88.376	44.345	259.290
-88.969	34.975	255.072
-89.253	25.407	251.376
-89.144	15.617	248.168
-88.552	5.591	245.438
-87.956	-4.598	243.189
-86.699	-14.833	241.466
-85.209	-24.987	240.185
-83.257	-35.003	239.702
-81.037	-45.047	239.759
-78.540	-55.123	240.599
-75.136	-63.902	241.829
-71.869	-73.669	243.844
-67.948	-83.198	246.137
-63.289	-91.674	248.832
-58.225	-100.011	251.983
-52.867	-108.616	255.635
-47.135	-115.938	259.684
-40.721	-122.559	264.101
-34.454	-129.074	268.990
-28.257	-135.380	274.333
-22.224	-141.421	279.950
-16.127	-147.195	285.804
-10.194	-152.642	291.860
-4.286	-157.746	298.063
1.802	-162.574	304.350
7.859	-166.942	310.665
14.202	-170.967	317.063
20.656	-174.464	323.468
27.155	-177.492	329.861
33.594	-180.180	336.243
39.800	-182.671	342.563
46.512	-183.761	348.541
53.234	-183.677	353.957
59.654	-183.426	359.163
66.101	-182.674	364.055
72.814	-180.494	368.283
78.400	-180.462	372.899
84.554	-178.426	376.750
90.290	-176.106	380.085
95.966	-173.341	382.864
101.579	-170.491	385.074
107.012	-167.688	386.585
112.301	-164.638	387.292
117.410	-161.231	387.269
122.372	-157.479	386.599
127.193	-153.689	385.303
131.720	-149.568	383.296
135.903	-145.207	380.726
