NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 19:05:37
DATA_INCLUDED	Position
DATA_TYPES	Mass_pos_X	Mass_pos_Y	Mass_pos_Z

Mass_pos_X	Mass_pos_Y	Mass_pos_Z	
92.994	-215.388	211.901
92.552	-215.747	211.625
92.450	-216.110	211.325
91.879	-216.397	211.036
91.479	-216.568	210.732
91.095	-216.747	210.433
90.451	-216.809	210.142
90.114	-217.128	209.936
89.460	-217.098	209.679
88.532	-217.166	209.490
87.962	-217.439	209.321
87.033	-217.682	209.186
86.099	-217.806	209.058
84.945	-218.021	208.959
84.048	-218.323	208.923
82.813	-218.590	208.946
81.512	-218.900	209.009
80.280	-219.050	209.067
79.047	-219.477	209.221
77.664	-219.762	209.376
76.251	-220.180	209.595
74.856	-220.546	209.803
73.475	-220.990	210.060
72.055	-221.372	210.332
70.580	-221.902	210.669
69.109	-222.301	210.964
67.801	-222.934	211.342
66.163	-223.413	211.717
64.967	-223.875	212.067
64.011	-224.475	212.436
63.050	-224.970	212.756
62.309	-225.333	213.049
61.757	-225.579	213.325
61.721	-225.888	213.592
61.946	-225.910	213.781
62.604	-225.593	213.927
63.635	-225.052	214.016
64.915	-224.057	214.055
66.782	-222.715	214.023
68.859	-220.849	213.899
71.382	-218.669	213.700
74.209	-215.638	213.349
77.606	-212.062	212.903
81.402	-207.739	212.346
85.715	-202.804	211.689
89.809	-196.896	210.823
94.190	-189.888	209.814
98.190	-181.855	208.667
101.098	-172.339	207.318
103.111	-161.728	206.031
106.226	-154.088	205.434
114.118	-142.274	204.908
123.655	-129.951	204.552
129.028	-120.570	205.166
139.745	-110.264	207.038
145.132	-99.163	208.680
149.089	-86.741	210.688
152.747	-73.948	213.304
155.714	-61.217	216.470
158.474	-47.660	220.264
160.176	-34.410	224.448
161.550	-20.844	229.233
162.318	-7.220	234.467
162.565	6.754	240.132
162.989	20.074	245.627
163.589	32.745	250.951
164.362	44.769	256.105
165.307	56.151	261.087
166.423	66.895	265.897
167.706	77.004	270.535
169.157	86.482	275.000
170.772	95.333	279.291
172.551	103.560	283.409
174.492	111.168	287.353
176.592	118.159	291.121
178.850	124.539	294.715
181.265	130.310	298.133
183.834	135.476	301.374
186.556	140.041	304.439
189.430	144.009	307.326
192.453	147.384	310.036
195.623	150.169	312.568
